,Manager_Name,Player_Name,NFL_Team,col_count,Player_Abbr,Wildcard,Division,Conference,Super Bowl,Super Bowl Winner
129,Duvallll,Aaron Rodgers,PIT,3,A.Rodgers,True,False,False,False,False
130,Duvallll,Saquon Barkley,PHI,3,S.Barkley,True,False,False,False,False
131,Duvallll,James Cook,BUF,3,J.Cook,True,True,False,False,False
132,Duvallll,Josh Jacobs,GB,2,J.Jacobs,True,False,False,False,False
133,Duvallll,Bhayshul Tuten,JAX,3,B.Tuten,True,False,False,False,False
134,Duvallll,Puka Nacua,LA,2,P.Nacua,True,True,True,False,False
135,Duvallll,Brian Thomas Jr.,JAX,3,B.Thomas,True,False,False,False,False
136,Duvallll,Quentin Johnston,LAC,3,Q.Johnston,True,False,False,False,False
137,Duvallll,DK Metcalf,PIT,3,D.Metcalf,True,False,False,False,False
138,Duvallll,Gabe Davis,BUF,3,G.Davis,True,True,False,False,False
139,Duvallll,Marvin Mims Jr.,DEN,3,M.Mims,False,True,True,False,False
140,Duvallll,Dallas Goedert,PHI,3,D.Goedert,True,False,False,False,False
141,Duvallll,Dawson Knox,BUF,3,D.Knox,True,True,False,False,False
142,Duvallll,Tyler Higbee,LA,2,T.Higbee,True,True,True,False,False
143,Duvallll,Pat Freiermuth,PIT,3,P.Freiermuth,True,False,False,False,False
144,Tapioca Pudding,Drake Maye,NE,2,D.Maye,True,True,True,True,False
145,Tapioca Pudding,Matthew Stafford,LA,2,M.Stafford,True,True,True,False,False
146,Tapioca Pudding,Sam Darnold,SEA,3,S.Darnold,False,True,True,True,True
147,Tapioca Pudding,Aaron Rodgers,PIT,3,A.Rodgers,True,False,False,False,False
148,Tapioca Pudding,Christian McCaffrey,SF,2,C.McCaffrey,True,True,False,False,False
149,Tapioca Pudding,James Cook,BUF,3,J.Cook,True,True,False,False,False
150,Tapioca Pudding,Josh Jacobs,GB,2,J.Jacobs,True,False,False,False,False
151,Tapioca Pudding,Rico Dowdle,CAR,3,R.Dowdle,True,False,False,False,False
152,Tapioca Pudding,Puka Nacua,LA,2,P.Nacua,True,True,True,False,False
153,Tapioca Pudding,Jakobi Meyers,JAX,3,J.Meyers,True,False,False,False,False
154,Tapioca Pudding,DJ Moore,CHI,3,D.Moore,True,True,False,False,False
155,Tapioca Pudding,DK Metcalf,PIT,3,D.Metcalf,True,False,False,False,False
156,Tapioca Pudding,Kyle Williams,NE,2,K.Williams,True,True,True,True,False
157,Tapioca Pudding,Tutu Atwell,LA,17,T.Atwell,True,True,True,False,False
158,Tapioca Pudding,Hunter Henry,NE,2,H.Henry,True,True,True,True,False
159,Tapioca Pudding,Dalton Kincaid,BUF,3,D.Kincaid,True,True,False,False,False
160,Tapioca Pudding,AJ Barner,SEA,3,A.Barner,False,True,True,True,True
161,Tapioca Pudding,Pat Freiermuth,PIT,3,P.Freiermuth,True,False,False,False,False
162,McSrq,Josh Allen,BUF,3,J.Allen,True,True,False,False,False
163,McSrq,Brock Purdy,SF,2,B.Purdy,True,True,False,False,False
164,McSrq,Justin Herbert,LAC,3,J.Herbert,True,False,False,False,False
165,McSrq,C.J. Stroud,HOU,3,C.Stroud,True,True,False,False,False
166,McSrq,Christian McCaffrey,SF,2,C.McCaffrey,True,True,False,False,False
167,McSrq,James Cook,BUF,3,J.Cook,True,True,False,False,False
168,McSrq,Woody Marks,HOU,3,W.Marks,True,True,False,False,False
169,McSrq,Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
170,McSrq,Ricky Pearsall,SF,2,R.Pearsall,True,True,False,False,False
171,McSrq,Khalil Shakir,BUF,3,K.Shakir,True,True,False,False,False
172,McSrq,Quentin Johnston,LAC,3,Q.Johnston,True,False,False,False,False
173,McSrq,Jayden Higgins,HOU,3,J.Higgins,True,True,False,False,False
174,McSrq,Brandin Cooks,BUF,3,B.Cooks,True,True,False,False,False
175,McSrq,Christian Kirk,HOU,3,C.Kirk,True,True,False,False,False
176,McSrq,George Kittle,SF,2,G.Kittle,True,True,False,False,False
177,McSrq,Dawson Knox,BUF,3,D.Knox,True,True,False,False,False
178,McSrq,Tyler Higbee,LA,2,T.Higbee,True,True,True,False,False
179,McSrq,Austin Hooper,NE,2,A.Hooper,True,True,True,True,False
180,OJ’s revenge/ ethan,Josh Allen,BUF,3,J.Allen,True,True,False,False,False
181,OJ’s revenge/ ethan,Jalen Hurts,PHI,3,J.Hurts,True,False,False,False,False
182,OJ’s revenge/ ethan,Bo Nix,DEN,3,B.Nix,False,True,True,False,False
183,OJ’s revenge/ ethan,Aaron Rodgers,PIT,3,A.Rodgers,True,False,False,False,False
184,OJ’s revenge/ ethan,Saquon Barkley,PHI,3,S.Barkley,True,False,False,False,False
185,OJ’s revenge/ ethan,James Cook,BUF,3,J.Cook,True,True,False,False,False
186,OJ’s revenge/ ethan,Zach Charbonnet,SEA,3,Z.Charbonnet,False,True,True,True,True
187,OJ’s revenge/ ethan,Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
188,OJ’s revenge/ ethan,Puka Nacua,LA,2,P.Nacua,True,True,True,False,False
189,OJ’s revenge/ ethan,Khalil Shakir,BUF,3,K.Shakir,True,True,False,False,False
190,OJ’s revenge/ ethan,Troy Franklin,DEN,15,T.Franklin,False,True,True,False,False
191,OJ’s revenge/ ethan,DK Metcalf,PIT,3,D.Metcalf,True,False,False,False,False
192,OJ’s revenge/ ethan,Keon Coleman,BUF,3,K.Coleman,True,True,False,False,False
193,OJ’s revenge/ ethan,Marvin Mims Jr.,DEN,3,M.Mims,False,True,True,False,False
194,OJ’s revenge/ ethan,Evan Engram,DEN,3,E.Engram,False,True,True,False,False
195,OJ’s revenge/ ethan,Dalton Kincaid,BUF,3,D.Kincaid,True,True,False,False,False
196,OJ’s revenge/ ethan,Tyler Higbee,LA,2,T.Higbee,True,True,True,False,False
197,OJ’s revenge/ ethan,Pat Freiermuth,PIT,3,P.Freiermuth,True,False,False,False,False
198,Dub season ,Trevor Lawrence,JAX,3,T.Lawrence,True,False,False,False,False
